household_key,primer_dia,ultimo_dia,frecuencia_cestas,clv_historico,n_lineas,recencia_dias,tenencia_dias,gasto_medio_cesta,tenencia_corta,n_categorias_distintas,log_clv_historico,gasto_medio_semanal_base,gasto_medio_semanal_reciente,tendencia_no_disponible,tendencia_relativa,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,KID_CATEGORY_DESC,AGE_DESC_cod,MARITAL_STATUS_CODE_cod,INCOME_DESC_cod,HOMEOWNER_DESC_cod,HH_COMP_DESC_cod,KID_CATEGORY_DESC_cod,tamano_medio_cesta,descuento_total,target_campana,n_campanas,nivel_valor,nivel_tendencia,cuadrante
352,86,694,6,178.7,53,11,609,29.78333333333333,False,35,5.191288793789513,0.9812676056338029,5.105833333333334,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.833333333333334,16.97,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
353,118,700,125,3799.2000000000003,1138,5,583,30.393600000000003,False,185,8.242808975908432,43.76732394366197,55.79083333333333,False,0.2747142915374087,45-54,A,150-174K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,8.0,0.0,2.0,3.0,9.104,575.98,1,3,Alto,Ascendente,Alto valor / Ascendente
354,83,705,156,8715.9,3113,0,623,55.871153846153845,False,180,9.073018949109134,92.77197183098592,107.6125,False,0.15996779928371996,25-34,A,35-49K,Homeowner,2 Adults Kids,3+,1.0,0.0,3.0,0.0,1.0,2.0,19.955128205128204,1420.15,1,7,Alto,Ascendente,Alto valor / Ascendente
355,81,371,7,340.34,67,334,291,48.62,True,36,5.832879047990611,3.3177464788732394,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.571428571428571,69.52,0,0,Bajo,Descendente,Bajo valor / Descendente
356,85,705,233,2823.36,818,0,621,12.117424892703863,False,100,7.946037069241948,29.780281690140846,37.75833333333333,False,0.26789711817379236,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.5107296137339055,280.03,1,1,Alto,Ascendente,Alto valor / Ascendente
357,103,696,22,1704.27,706,9,594,77.46681818181818,False,115,7.44147873495161,14.896197183098593,52.16916666666666,False,2.5021801890390143,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,32.09090909090909,547.52,0,0,Bajo,Ascendente,Bajo valor / Ascendente
358,89,704,365,12504.77,3584,1,616,34.25964383561644,False,203,9.433945416785885,151.3249295774648,145.23749999999998,False,-0.0402275394706104,35-44,U,50-74K,Homeowner,2 Adults No Kids,None/Unknown,2.0,3.0,4.0,0.0,2.0,3.0,9.819178082191781,1514.9599999999998,1,8,Alto,Descendente,Alto valor / Descendente
359,34,54,2,172.85,70,651,21,86.425,True,45,5.15819285845387,0.0,0.0,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,35.0,29.68,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
360,105,697,36,442.83,183,8,593,12.300833333333333,False,70,6.095441606230976,5.25281690140845,5.0675,False,-0.03527952808687485,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.083333333333333,67.19,0,0,Bajo,Descendente,Bajo valor / Descendente
361,4,702,216,8612.53,3950,3,699,39.872824074074074,False,205,9.061089501785101,80.52042253521127,109.52583333333332,False,0.36022427459863493,45-54,U,50-74K,Unknown,Unknown,None/Unknown,3.0,3.0,4.0,5.0,6.0,3.0,18.287037037037038,2022.5400000000002,1,10,Alto,Ascendente,Alto valor / Ascendente
362,13,701,90,2951.12,1156,4,689,32.79022222222222,False,120,7.9902788353006615,29.785211267605632,26.7175,False,-0.10299444378768167,65+,U,50-74K,Unknown,Single Male,None/Unknown,5.0,3.0,4.0,5.0,5.0,3.0,12.844444444444445,433.84999999999997,1,3,Alto,Descendente,Alto valor / Descendente
363,94,581,4,52.4,23,124,488,13.1,False,14,3.977810745966149,0.5830985915492958,0.0,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.75,26.48,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
364,4,705,86,2566.92,835,0,702,29.847906976744188,False,119,7.850851511676623,26.186478873239437,16.84,False,-0.3569200318409673,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.709302325581396,533.07,1,5,Alto,Descendente,Alto valor / Descendente
365,9,697,170,7048.43,1485,8,689,41.46135294117647,False,155,8.86070204147386,74.02661971830986,53.6575,False,-0.27515939260524863,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.735294117647058,936.04,1,7,Alto,Descendente,Alto valor / Descendente
366,82,675,48,615.78,394,30,594,12.82875,False,78,6.424512396301874,8.061126760563381,2.0933333333333333,False,-0.7403175268779629,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.208333333333334,190.58,0,0,Bajo,Descendente,Bajo valor / Descendente
367,30,701,113,7024.51,2594,4,672,62.163805309734514,False,170,8.857303089431618,70.1561971830986,95.98583333333333,False,0.3681732646201265,55-64,A,50-74K,Homeowner,2 Adults No Kids,None/Unknown,4.0,0.0,4.0,0.0,2.0,3.0,22.95575221238938,2626.93,1,9,Alto,Ascendente,Alto valor / Ascendente
368,21,693,53,1346.46,361,12,673,25.40490566037736,False,90,7.205976617741443,9.36112676056338,19.5025,False,1.0833496328839676,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.811320754716981,238.52,1,3,Bajo,Ascendente,Bajo valor / Ascendente
369,76,700,34,1033.35,358,5,625,30.392647058823528,False,95,6.941528489089058,11.05549295774648,7.918333333333333,False,-0.28376478881613043,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.529411764705882,149.78,1,1,Bajo,Descendente,Bajo valor / Descendente
370,77,556,133,3386.78,1127,149,480,25.46451127819549,False,148,8.127930118598638,39.0712676056338,0.0,False,-1.0,65+,U,50-74K,Unknown,2 Adults No Kids,None/Unknown,5.0,3.0,4.0,5.0,2.0,3.0,8.473684210526315,516.81,1,1,Alto,Descendente,Alto valor / Descendente
371,62,700,160,15497.19,5609,5,639,96.8574375,False,205,9.648478521895152,167.31647887323942,209.77416666666667,False,0.25375676131454816,35-44,A,75-99K,Homeowner,2 Adults Kids,1,2.0,0.0,5.0,0.0,1.0,0.0,35.05625,2715.07,1,12,Alto,Ascendente,Alto valor / Ascendente
372,8,496,10,440.42,163,209,489,44.042,False,56,6.0899968031722285,4.912676056338029,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,16.3,103.62,0,0,Bajo,Descendente,Bajo valor / Descendente
373,108,688,11,90.08,41,17,581,8.18909090909091,False,24,4.5117382411955385,0.9122535211267605,1.7041666666666666,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.727272727272727,17.11,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
374,33,705,163,7099.56,1712,0,673,43.55558282208589,False,166,8.867928933158513,87.98957746478874,29.300833333333333,False,-0.6669965446184941,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.503067484662576,724.34,1,9,Alto,Descendente,Alto valor / Descendente
375,95,696,24,203.94,85,9,602,8.4975,False,35,5.322717253371572,2.436478873239437,2.4125,False,-0.009841609341580517,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.5416666666666665,76.99,0,0,Bajo,Descendente,Bajo valor / Descendente
376,62,703,490,4683.03,2415,2,642,9.557204081632653,False,139,8.451914129479334,51.49577464788732,36.13333333333333,False,-0.29832430756887846,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.928571428571429,632.64,1,6,Alto,Descendente,Alto valor / Descendente
377,101,704,132,3141.43,1274,1,604,23.79871212121212,False,128,8.052751664957754,31.7812676056338,51.237500000000004,False,0.6121918306026672,45-54,A,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,4.0,0.0,2.0,3.0,9.651515151515152,575.9,1,5,Alto,Ascendente,Alto valor / Ascendente
378,61,704,323,4683.01,1511,1,644,14.498482972136223,False,156,8.451909859642742,52.87830985915493,36.0625,False,-0.31800959417850183,55-64,A,50-74K,Homeowner,Single Female,None/Unknown,4.0,0.0,4.0,0.0,4.0,3.0,4.678018575851393,670.2299999999999,1,5,Alto,Descendente,Alto valor / Descendente
379,118,118,1,4.49,1,587,1,4.49,True,1,1.7029282555214393,0.0,0.0,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,1.0,0.0,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
380,94,705,127,7544.79,3168,0,612,59.40779527559055,False,129,8.928745070823469,84.10788732394366,94.84083333333332,False,0.1276092688911737,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,24.944881889763778,1537.24,1,7,Alto,Ascendente,Alto valor / Ascendente
381,5,699,93,3120.79,1106,6,695,33.556881720430106,False,159,8.046161834239024,23.70394366197183,43.7475,False,0.8455789730121571,25-34,B,35-49K,Homeowner,1 Adult Kids,1,1.0,1.0,3.0,0.0,0.0,0.0,11.89247311827957,472.34,1,5,Alto,Ascendente,Alto valor / Ascendente
382,55,675,34,694.7,171,30,621,20.43235294117647,False,76,6.544918532929596,4.005633802816901,18.195,False,3.5423523206751053,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.029411764705882,70.71,0,0,Bajo,Ascendente,Bajo valor / Ascendente
383,75,693,150,5763.4400000000005,1880,12,619,38.42293333333334,False,143,8.65946329008384,65.93492957746479,30.0825,False,-0.5437547261704883,45-54,U,50-74K,Homeowner,Unknown,None/Unknown,3.0,3.0,4.0,0.0,6.0,3.0,12.533333333333333,917.2499999999999,1,4,Alto,Descendente,Alto valor / Descendente
384,105,705,79,3908.43,1071,0,601,49.47379746835443,False,155,8.271146862301316,40.84253521126761,74.69916666666667,False,0.8289551880231646,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,13.556962025316455,576.8000000000001,1,5,Alto,Ascendente,Alto valor / Ascendente
385,36,701,41,2929.72,876,4,666,71.45658536585366,False,128,7.983003405611907,32.56816901408451,24.795,False,-0.2386738109447573,25-34,A,50-74K,Homeowner,2 Adults Kids,3+,1.0,0.0,4.0,0.0,1.0,2.0,21.365853658536587,551.0200000000001,0,0,Alto,Descendente,Alto valor / Descendente
386,39,705,277,4616.7,2607,0,667,16.666787003610107,False,157,8.437652024616714,54.6343661971831,48.590833333333336,False,-0.11061779031237964,35-44,B,25-34K,Probable Owner,Single Female,None/Unknown,2.0,1.0,2.0,1.0,4.0,3.0,9.411552346570398,1243.81,1,5,Alto,Descendente,Alto valor / Descendente
387,97,704,131,5697.25,1500,1,608,43.49045801526717,False,171,8.647914389139247,65.0381690140845,70.72250000000001,False,0.0873999233386248,25-34,B,50-74K,Homeowner,Single Female,None/Unknown,1.0,1.0,4.0,0.0,4.0,3.0,11.450381679389313,782.02,1,3,Alto,Ascendente,Alto valor / Ascendente
388,103,704,57,1268.15,662,1,602,22.24824561403509,False,80,7.14610266403862,12.937464788732393,21.412499999999998,False,0.6550769682982058,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.614035087719298,497.05,0,0,Bajo,Ascendente,Bajo valor / Ascendente
389,108,705,267,14779.34,4570,0,598,55.35333333333333,False,181,9.601053198297143,173.40323943661974,160.74833333333333,False,-0.07297964065954994,35-44,U,150-174K,Probable Owner,Single Female,None/Unknown,2.0,3.0,8.0,1.0,4.0,3.0,17.116104868913858,3381.11,1,10,Alto,Descendente,Alto valor / Descendente
390,80,697,107,1781.3,575,8,618,16.64766355140187,False,119,7.4856599440298055,17.866197183098592,17.169999999999998,False,-0.03896728419392996,45-54,B,25-34K,Renter,Single Female,None/Unknown,3.0,1.0,2.0,3.0,4.0,3.0,5.373831775700935,261.51,1,3,Bajo,Descendente,Bajo valor / Descendente
391,85,613,49,1412.64,423,92,529,28.829387755102044,False,96,7.253923217152968,18.962676056338026,0.0,False,-1.0,65+,B,25-34K,Unknown,Single Female,None/Unknown,5.0,1.0,2.0,5.0,4.0,3.0,8.63265306122449,197.88,1,2,Bajo,Descendente,Bajo valor / Descendente
392,75,698,103,11320.94,3028,7,624,109.91203883495146,False,175,9.334497715165499,125.5669014084507,150.95583333333335,False,0.20219446080218362,35-44,A,250K+,Homeowner,2 Adults Kids,1,2.0,0.0,11.0,0.0,1.0,0.0,29.398058252427184,856.07,1,8,Alto,Ascendente,Alto valor / Ascendente
393,57,705,175,3837.17,1550,0,649,21.926685714285714,False,152,8.252750969489774,43.44394366197183,32.964999999999996,False,-0.2412060871707754,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.857142857142858,871.8,1,4,Alto,Descendente,Alto valor / Descendente
394,34,682,64,1561.16,515,23,649,24.393125,False,134,7.353824757932242,19.052816901408452,14.415000000000001,False,-0.2434189613749769,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.046875,154.26,1,4,Bajo,Descendente,Bajo valor / Descendente
395,42,704,67,866.22,342,1,663,12.92865671641791,False,78,6.7652926931500685,9.277042253521126,4.5525,False,-0.5092724733174426,35-44,U,25-34K,Unknown,Single Male,None/Unknown,2.0,3.0,2.0,5.0,5.0,3.0,5.104477611940299,232.13,0,0,Bajo,Descendente,Bajo valor / Descendente
396,108,705,107,1790.73,613,0,598,16.735794392523363,False,112,7.490936912540207,19.01183098591549,30.747500000000002,False,0.6172824186570263,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.728971962616822,330.02,1,3,Bajo,Ascendente,Bajo valor / Ascendente
397,104,703,247,6134.37,1815,2,600,24.835506072874495,False,153,8.721825665024907,69.63380281690141,71.01583333333333,False,0.01984712108953614,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.348178137651822,908.84,1,5,Alto,Ascendente,Alto valor / Ascendente
398,110,701,125,2092.6,770,4,592,16.7408,False,119,7.646640351215936,23.78901408450704,27.933333333333334,False,0.17421147568807163,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.16,418.28,1,1,Bajo,Ascendente,Bajo valor / Ascendente
399,113,663,17,978.48,256,42,551,57.557647058823534,False,98,6.887021818595224,12.108732394366198,1.6116666666666666,False,-0.8669004637168691,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,15.058823529411764,146.18,0,0,Bajo,Descendente,Bajo valor / Descendente
400,109,704,309,18469.98,4674,1,596,59.773398058252425,False,211,9.823956130800324,223.44366197183098,212.13333333333333,False,-0.050618256694716715,35-44,A,150-174K,Homeowner,2 Adults Kids,1,2.0,0.0,8.0,0.0,1.0,0.0,15.12621359223301,1908.39,1,3,Alto,Descendente,Alto valor / Descendente
401,7,702,95,2534.89,1016,3,696,26.683052631578946,False,150,7.838299939222055,22.508591549295776,65.70083333333334,False,1.9189224563181926,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.694736842105263,495.71000000000004,0,0,Alto,Ascendente,Alto valor / Ascendente
402,62,705,80,2233.84,603,0,644,27.923000000000002,False,103,7.7119249161182095,23.64281690140845,41.64333333333334,False,0.7613524440420024,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.5375,298.42,1,2,Alto,Ascendente,Alto valor / Ascendente
403,40,642,46,914.56,237,63,603,19.88173913043478,False,73,6.819535899924448,9.787887323943663,1.6683333333333332,False,-0.8295512322406731,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.1521739130434785,253.1,1,1,Bajo,Descendente,Bajo valor / Descendente
404,11,703,238,6091.68,1741,2,693,25.59529411764706,False,154,8.714843329584884,56.44915492957746,66.25666666666667,False,0.17374062994077538,25-34,A,25-34K,Unknown,Unknown,None/Unknown,1.0,0.0,2.0,5.0,6.0,3.0,7.315126050420168,635.34,1,8,Alto,Ascendente,Alto valor / Ascendente
405,33,691,97,3628.39,1025,14,659,37.4060824742268,False,120,8.196819869060773,38.962676056338026,24.785,False,-0.36387839571999203,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.56701030927835,801.13,1,3,Alto,Descendente,Alto valor / Descendente
406,83,677,43,1675.95,399,28,595,38.97558139534884,False,110,7.424731946232634,17.236338028169012,24.453333333333333,False,0.4187081556053105,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.279069767441861,165.26,0,0,Bajo,Ascendente,Bajo valor / Ascendente
407,95,696,50,681.97,137,9,602,13.6394,False,50,6.526450934740809,5.715492957746479,8.315833333333334,False,0.4549634466896666,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.74,358.78000000000003,0,0,Bajo,Ascendente,Bajo valor / Ascendente
408,80,698,56,2470.9900000000002,645,7,619,44.12482142857143,False,124,7.812778773261956,26.871971830985917,22.5425,False,-0.1611147800472769,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.517857142857142,365.23,1,4,Alto,Descendente,Alto valor / Descendente
409,22,704,133,4453.89,1757,1,683,33.48789473684211,False,156,8.401757648242048,44.66225352112676,63.525,False,0.42234202244072894,19-24,B,25-34K,Homeowner,2 Adults No Kids,None/Unknown,0.0,1.0,2.0,0.0,2.0,3.0,13.210526315789474,1469.38,1,8,Alto,Ascendente,Alto valor / Ascendente
410,17,699,127,1137.75,500,6,683,8.958661417322835,False,93,7.037686448574168,12.953661971830986,10.118333333333334,False,-0.21888240133665315,55-64,A,35-49K,Homeowner,2 Adults Kids,3+,4.0,0.0,3.0,0.0,1.0,2.0,3.937007874015748,447.77,1,1,Bajo,Descendente,Bajo valor / Descendente
411,89,705,158,6697.21,1323,0,617,42.38740506329114,False,154,8.809595605505246,83.66507042253521,36.54083333333333,False,-0.563248639500445,35-44,U,Under 15K,Unknown,2 Adults No Kids,None/Unknown,2.0,3.0,0.0,5.0,2.0,3.0,8.373417721518987,1088.58,1,5,Alto,Descendente,Alto valor / Descendente
412,83,698,111,2393.31,1302,7,616,21.56135135135135,False,135,7.7808503681274095,26.924084507042252,26.981666666666666,False,0.00213868588955558,65+,A,15-24K,Homeowner,Single Female,None/Unknown,5.0,0.0,1.0,0.0,4.0,3.0,11.72972972972973,702.8599999999999,1,4,Alto,Ascendente,Alto valor / Ascendente
413,37,702,284,5963.78,1515,3,666,20.999225352112674,False,144,8.693627452041303,72.34295774647887,45.4925,False,-0.371155100411771,45-54,U,100-124K,Unknown,Unknown,None/Unknown,3.0,3.0,6.0,5.0,6.0,3.0,5.334507042253521,561.01,1,8,Alto,Descendente,Alto valor / Descendente
414,27,704,153,2488.65,967,1,678,16.265686274509804,False,139,7.819897417329958,28.384225352112676,22.3,False,-0.21435234806081532,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.3202614379084965,446.82,1,4,Alto,Descendente,Alto valor / Descendente
415,117,694,16,514.63,93,11,578,32.164375,False,41,6.245389454011627,2.593943661971831,17.43583333333333,False,5.721747117699226,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.8125,64.78999999999999,0,0,Bajo,Ascendente,Bajo valor / Ascendente
416,68,575,29,2177.04,861,130,508,75.07034482758621,False,138,7.686180668797173,30.186760563380286,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,29.689655172413794,389.89,0,0,Alto,Descendente,Alto valor / Descendente
417,105,703,84,3012.96,1226,2,599,35.86857142857143,False,171,8.011010107698242,32.28521126760563,46.40833333333333,False,0.43744864943468936,45-54,A,35-49K,Unknown,Single Female,None/Unknown,3.0,0.0,3.0,5.0,4.0,3.0,14.595238095238095,614.46,0,0,Alto,Ascendente,Alto valor / Ascendente
418,91,695,255,6959.71,2103,10,605,27.292980392156863,False,178,8.8480367596199,80.13521126760564,76.26916666666666,False,-0.048244018325834394,35-44,U,35-49K,Unknown,2 Adults Kids,1,2.0,3.0,3.0,5.0,1.0,0.0,8.24705882352941,947.83,1,11,Alto,Descendente,Alto valor / Descendente
419,80,641,46,1696.6100000000001,377,64,562,36.88282608695653,False,106,7.436976658511549,16.275915492957747,1.1341666666666665,False,-0.9303162598037943,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.195652173913043,493.75,1,1,Bajo,Descendente,Bajo valor / Descendente
420,26,705,98,2048.83,744,0,680,20.90642857142857,False,137,7.625512141864566,22.70112676056338,11.811666666666667,False,-0.4796880881178986,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.591836734693878,316.79,1,5,Bajo,Descendente,Bajo valor / Descendente
421,80,705,194,6013.04,1754,0,626,30.995051546391753,False,177,8.701852014673678,63.76788732394367,73.405,False,0.15112799059971013,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,9.041237113402062,1692.53,1,7,Alto,Ascendente,Alto valor / Ascendente
422,98,625,18,863.24,303,80,528,47.95777777777778,False,83,6.761850508008729,10.195352112676057,3.393333333333333,False,-0.667168598413159,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,16.833333333333332,351.34,0,0,Bajo,Descendente,Bajo valor / Descendente
423,78,589,14,230.85,116,116,512,16.489285714285714,False,47,5.446090610837469,3.2091549295774646,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.285714285714286,97.28,0,0,Bajo,Descendente,Bajo valor / Descendente
424,103,687,24,2441.79,580,18,585,101.74125,False,127,7.800896107677591,24.780845070422536,30.80333333333333,False,0.2430299792358173,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,24.166666666666668,274.31,0,0,Alto,Ascendente,Alto valor / Ascendente
425,29,705,150,5531.93,2125,0,677,36.879533333333335,False,128,8.61847279145354,51.92507042253521,61.04416666666666,False,0.17562029612912794,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,14.166666666666666,1418.88,1,8,Alto,Ascendente,Alto valor / Ascendente
426,102,704,227,7771.25,2285,1,603,34.23458149779736,False,151,8.958314976732437,92.99239436619719,79.30666666666666,False,-0.14717039810414112,45-54,U,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,3.0,4.0,0.0,2.0,3.0,10.066079295154186,1273.6,1,3,Alto,Descendente,Alto valor / Descendente
427,9,698,51,1019.17,277,7,690,19.98372549019608,False,87,6.927724559057638,5.430281690140845,26.0825,False,3.80315782648165,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.431372549019608,112.21,0,0,Bajo,Ascendente,Bajo valor / Ascendente
428,68,693,95,3361.43,1566,12,626,35.38347368421052,False,121,8.120419205849535,39.36901408450704,1.9408333333333332,False,-0.9507015001908034,19-24,U,50-74K,Probable Owner,2 Adults No Kids,None/Unknown,0.0,3.0,4.0,1.0,2.0,3.0,16.48421052631579,706.79,1,5,Alto,Descendente,Alto valor / Descendente
429,108,679,42,528.55,183,26,572,12.584523809523809,False,61,6.272027589289678,5.883239436619719,2.255,False,-0.6167077637595462,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.357142857142857,239.71,0,0,Bajo,Descendente,Bajo valor / Descendente
430,103,705,105,2343.58,854,0,603,22.319809523809525,False,138,7.759861560361646,17.853239436619717,82.68666666666667,False,3.631465732603334,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,8.133333333333333,428.76000000000005,1,1,Alto,Ascendente,Alto valor / Ascendente
431,92,658,35,526.67,150,47,567,15.047714285714285,False,54,6.268471088312343,6.47112676056338,1.0175,False,-0.8427630862988356,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,4.285714285714286,126.39,0,0,Bajo,Descendente,Bajo valor / Descendente
432,3,705,251,3437.83,1156,0,703,13.696533864541832,False,146,8.142886576235714,31.35605633802817,48.30833333333334,False,0.5406380449299579,19-24,U,25-34K,Unknown,Single Female,None/Unknown,0.0,3.0,2.0,5.0,4.0,3.0,4.605577689243028,471.63,1,2,Alto,Ascendente,Alto valor / Ascendente
433,12,696,76,949.82,381,9,685,12.497631578947368,False,82,6.857324770182772,7.197887323943662,13.190833333333332,False,0.8325979193164399,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.0131578947368425,100.69,1,2,Bajo,Ascendente,Bajo valor / Ascendente
434,74,701,116,3764.9900000000002,1633,4,628,32.45681034482759,False,142,8.233766053876344,41.89746478873239,42.27,False,0.008891593158347795,35-44,A,15-24K,Homeowner,2 Adults Kids,1,2.0,0.0,1.0,0.0,1.0,0.0,14.077586206896552,688.04,1,9,Alto,Ascendente,Alto valor / Ascendente
435,77,697,88,1629.47,248,8,621,18.516704545454544,False,55,7.3966235957960755,9.954647887323944,66.15416666666667,False,5.6455556656008,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,2.8181818181818183,1004.7,0,0,Bajo,Ascendente,Bajo valor / Ascendente
436,117,697,30,2318.7400000000002,725,8,581,77.29133333333334,False,128,7.7492103894146425,25.442535211267607,25.415833333333335,False,-0.0010494975328734814,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,24.166666666666668,311.44,1,1,Alto,Descendente,Alto valor / Descendente
